MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-15,41
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-16,40
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-17,24
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-18,2
AIA Malaysia,+08:00,XIAOMI,2016-08-13,14
AIA Malaysia,+08:00,XIAOMI,2016-08-14,6
AIA Malaysia,+08:00,XIAOMI,2016-08-15,26
AIA Malaysia,+08:00,XIAOMI,2016-08-16,12
AIA Malaysia,+08:00,XIAOMI,2016-08-17,23
AIA Malaysia,+08:00,XIAOMI,2016-08-18,3
AIA Philippines,+08:00,APPLE,2016-08-13,1
AIA Philippines,+08:00,GARMIN,2016-08-17,2
AIA Philippines,+08:00,VALIDIC,2016-08-14,1
AIA Philippines,+08:00,VALIDIC,2016-08-15,1
AIA Philippines,+08:00,VITALITY SELF-REPORTED,2016-08-14,1
AIA Philippines,+08:00,VITALITY SELF-REPORTED,2016-08-17,2
AIA Singapore,+08:00,GARMIN,2016-08-13,1
AIA Singapore,+08:00,GARMIN,2016-08-14,2
AIA Singapore,+08:00,GARMIN,2016-08-15,3
AIA Singapore,+08:00,GARMIN,2016-08-16,4
AIA Singapore,+08:00,GARMIN,2016-08-17,2
AIA Singapore,+08:00,POLAR,2016-08-13,4
AIA Singapore,+08:00,POLAR,2016-08-17,1
AIA Singapore,+08:00,VALIDIC,2016-08-13,19
AIA Singapore,+08:00,VALIDIC,2016-08-14,25
AIA Singapore,+08:00,VALIDIC,2016-08-15,33
AIA Singapore,+08:00,VALIDIC,2016-08-16,20
AIA Singapore,+08:00,VALIDIC,2016-08-17,35
AIA Singapore,+08:00,VALIDIC,2016-08-18,1
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-13,23
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-14,28
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-15,49
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-16,28
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-17,40
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-18,3
AIA Thailand,+07:00,APPLE,2016-08-13,6
AIA Thailand,+07:00,APPLE,2016-08-14,6
AIA Thailand,+07:00,APPLE,2016-08-15,30
AIA Thailand,+07:00,APPLE,2016-08-16,6
AIA Thailand,+07:00,APPLE,2016-08-17,15
AIA Thailand,+07:00,GARMIN,2016-08-13,2
AIA Thailand,+07:00,GARMIN,2016-08-14,5
AIA Thailand,+07:00,GARMIN,2016-08-15,7
AIA Thailand,+07:00,GARMIN,2016-08-16,5
AIA Thailand,+07:00,GARMIN,2016-08-17,4
AIA Thailand,+07:00,SAMSUNG,2016-08-13,6
AIA Thailand,+07:00,SAMSUNG,2016-08-15,5
AIA Thailand,+07:00,SAMSUNG,2016-08-16,1
AIA Thailand,+07:00,SAMSUNG,2016-08-17,7
AIA Thailand,+07:00,VALIDIC,2016-08-13,3
AIA Thailand,+07:00,VALIDIC,2016-08-14,3
AIA Thailand,+07:00,VALIDIC,2016-08-15,10
AIA Thailand,+07:00,VALIDIC,2016-08-16,7
AIA Thailand,+07:00,VALIDIC,2016-08-17,21
AIA Thailand,+07:00,VITALITY SELF-REPORTED,2016-08-13,10
